phase,epoch,train_loss,train_best_makespan,val_makespan_greedy,val_makespan_best_of_k,epoch_time_seconds
Phase_1,42,0.1916038766503334,684.1818181818181,643.0,685.0,46.951212644577026
Phase_1,43,0.1574030965566635,697.7272727272727,643.0,652.0,47.708455085754395
Phase_1,44,0.17566775158047676,688.6363636363636,643.0,597.0,46.75118660926819
Phase_1,45,0.16256349285443625,676.1818181818181,643.0,574.0,46.84842228889465
Phase_1,46,0.2033715397119522,691.4545454545455,643.0,581.0,45.84978151321411
Phase_1,47,0.17314111292362214,683.5454545454545,643.0,661.0,47.54908537864685
Phase_1,48,0.18400947004556656,682.2727272727273,643.0,612.0,46.7876935005188
Phase_1,49,0.16859308257699013,674.4545454545455,643.0,619.0,47.35814809799194
Phase_1,50,0.16881192723910013,678.5454545454545,643.0,634.0,47.292824506759644
Phase_1,51,0.17399032413959503,686.6363636363636,643.0,584.0,46.381951332092285
Phase_1,52,0.19765421748161316,679.5454545454545,643.0,588.0,48.025705099105835
Phase_1,53,0.18612202363354818,694.6363636363636,643.0,643.0,49.93151330947876
Phase_1,54,0.1825368936572756,667.9090909090909,643.0,653.0,48.96277356147766
Phase_1,55,0.18764791886011759,688.4545454545455,643.0,657.0,48.2242968082428
Phase_1,56,0.17761759459972382,734.7272727272727,643.0,644.0,47.98258066177368
Phase_1,57,0.16150574386119843,704.3636363636364,643.0,642.0,44.525267601013184
Phase_1,58,0.190495694677035,657.5454545454545,643.0,650.0,47.51282835006714
Phase_1,59,0.1828363500535488,708.6363636363636,643.0,643.0,48.893699407577515
Phase_1,60,0.18365390598773956,696.9090909090909,643.0,633.0,46.50321865081787
Phase_1,61,0.1741337776184082,708.0,643.0,574.0,46.95927834510803
Phase_1,62,0.18492881953716278,673.7272727272727,643.0,614.0,48.092395067214966
Phase_1,63,0.1631314903497696,698.0,643.0,586.0,47.58173727989197
Phase_1,64,0.1674424260854721,662.4545454545455,643.0,583.0,45.699745178222656
Phase_1,65,0.15961630642414093,696.0909090909091,643.0,646.0,46.8488130569458
Phase_1,66,0.1929287612438202,669.3636363636364,643.0,634.0,46.341222047805786
Phase_1,67,0.1801060050725937,683.5454545454545,643.0,583.0,47.145233392715454
Phase_1,68,0.17573528736829758,699.0,643.0,596.0,47.310548305511475
Phase_1,69,0.1723886877298355,739.4545454545455,643.0,630.0,46.85278868675232
Phase_1,70,0.18510311345259348,763.4545454545455,643.0,589.0,47.267987966537476
Phase_1,71,0.19426142424345016,647.0,643.0,595.0,45.59106087684631
Phase_1,72,0.19014130532741547,677.0,643.0,575.0,47.9639687538147
Phase_1,73,0.17095869779586792,711.1818181818181,643.0,575.0,46.93098282814026
Phase_1,74,0.20010779798030853,658.9090909090909,643.0,648.0,46.52344751358032
Phase_1,75,0.1680789589881897,647.3636363636364,643.0,670.0,45.73118281364441
Phase_1,76,0.17951451241970062,683.2727272727273,643.0,610.0,46.766791343688965
Phase_1,77,0.1798994243144989,659.0,643.0,608.0,46.19244742393494
Phase_1,78,0.1938445121049881,671.7272727272727,643.0,624.0,46.69055700302124
Phase_1,79,0.19140446186065674,653.5454545454545,643.0,627.0,46.89127564430237
Phase_1,80,0.1884530782699585,681.4545454545455,643.0,628.0,46.41921305656433
Phase_1,81,0.19351758062839508,660.8181818181819,643.0,624.0,47.799312353134155
Phase_1,82,0.17415263752142587,640.7272727272727,643.0,616.0,47.167802572250366
Phase_1,83,0.15837696194648743,661.3636363636364,643.0,609.0,46.24349570274353
